Sep 27 07:48:59 raspberrypi jgrivera: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 5.10.60-v7l+ #1449 SMP Wed Aug 25 15:00:44 BST 2021 armv7l GNU/Linux
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 71 @ 670890s, 713ms, 669909ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 15 @ 670890s, 713ms, 764630ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 72 @ 670890s, 733ms, 671944ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 73 @ 670890s, 753ms, 671813ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 74 @ 670890s, 773ms, 675515ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 75 @ 670890s, 793ms, 671791ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 76 @ 670890s, 813ms, 676733ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 16 @ 670890s, 813ms, 767770ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 11 @ 670890s, 814ms, 224156ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 77 @ 670890s, 833ms, 673009ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 78 @ 670890s, 853ms, 667563ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 79 @ 670890s, 873ms, 672061ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 80 @ 670890s, 893ms, 670726ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 81 @ 670890s, 913ms, 674873ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 17 @ 670890s, 913ms, 769465ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 82 @ 670890s, 933ms, 684149ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 83 @ 670890s, 953ms, 670758ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 12 @ 670890s, 964ms, 236892ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 84 @ 670890s, 973ms, 670608ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 85 @ 670890s, 993ms, 681384ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 86 @ 670891s, 13ms, 695031ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 18 @ 670891s, 13ms, 784400ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 87 @ 670891s, 33ms, 671047ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 88 @ 670891s, 53ms, 667249ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 89 @ 670891s, 73ms, 671174ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 90 @ 670891s, 93ms, 674450ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 91 @ 670891s, 113ms, 665003ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 19 @ 670891s, 113ms, 763336ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 13 @ 670891s, 114ms, 221370ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 92 @ 670891s, 133ms, 677557ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 93 @ 670891s, 153ms, 667278ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 94 @ 670891s, 173ms, 668091ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 95 @ 670891s, 193ms, 665348ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 96 @ 670891s, 213ms, 669217ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 20 @ 670891s, 213ms, 789271ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 97 @ 670891s, 233ms, 679233ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 98 @ 670891s, 253ms, 664935ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 14 @ 670891s, 264ms, 235829ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 99 @ 670891s, 273ms, 672933ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 100 @ 670891s, 293ms, 672598ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 101 @ 670891s, 313ms, 671597ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 21 @ 670891s, 313ms, 764837ns
Sep 27 07:49:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 102 @ 670891s, 333ms, 672558ns
$
